country_code,image_code,description,response_description,response_due,response_note
EP,AKNL,Nl: Corrections (Part 1 Heading G),,,
EP,AKX,Payment Of Designation Fees,,,
EP,AKY,No Designation Fees Paid,Submit Payment for Designation Fee,2.months,
EP,APL,Filed For Appeal By Applicant / Proprietor / Patentee - Appeal Filed,,,
EP,APP,Cited By The Applicant - Information Available In Epo Systems,,,
EP,AS,Assignment,,,
EP,AV,Request For Validation Of The European Patent In,,,
EP,AX,Request For Extension Of The European Patent To (Free Fromat Text),,,
EP,AXX,Payment Of Extension Fees,,,
EP,B1DE,Deletion Of B1 Dcoument,,,
EP,B565,Issuance Of Search Results Under Rule 164(2) Epc,,,
EP,BE20,Be: Patent Expired,,,
EP,BECA,Be: Change Of Holder'S Address,,,
EP,BECN,Be: Change Of Holder'S Name,,,
EP,BERE,Be: Lapsed,,,
EP,BERR,Be: Reestablished,,,
EP,C,For All Records In The Backfile,,,
EP,CC,Certificate Of Correction,,,
EP,CCHV,Be: Grant Of A Complementary Protection Certificate For Herbicides,,,
EP,CCPA,Be: Application For A Complementary Protection Certificate,,,
EP,CCPR,Be: Rejection Of A Complementary Protection Certificate,,,
EP,CCPT,Be: Withdrawal Of A Complementary Protection Certificate,,,
EP,CCPV,Be: Grant Of A Complementary Protection Certificate,,,
EP,CCRE,Be: Expiry Of A Complementary Protection Certificate,,,
EP,CH2,Chapter 2 - International Search Report Completed,,,
EP,CND3,Copied From National Register On Demand Of Third Party,,,
EP,CQL,No Opposition Filed Within Timelimit,,,
EP,CRD3,Copy Of Epo Register On Demand Of Third Party,,,
EP,CY=,Country Issuing The Legal Event,,,
EP,D,Deletion Record; Only Issued If The Record Identifier Was Changed Or Corrected,,,
EP,D11X,Legal Means Of Execution (Deleted),,,
EP,D17D,Search Report (Deleted),,,
EP,D17P,Request For Examination Filed (Deleted),,,
EP,D17Q,First Examination Report (Deleted),,,
EP,D18D,Ep-Application Deemed To Be Withdrawn: (Deleted),,,
EP,D18R,Refused (Deleted),,,
EP,D18W,Withdrawal (Deleted),,,
EP,D18Z,Request For Re-Establishment (Deleted),,,
EP,D19F,"Previously Announced ""Resumption After Interruption Of Proceedings"" Was Erroneous",,,
EP,D20,Corrections Of A Patent Specification (Deleted),,,
EP,D25,Lapsed In A Contracting State (Deleted),,,
EP,D26,Opposition Filed (Deleted),,,
EP,D26N,No Opposition Filed (Deleted),,,
EP,D27A,Maintained As Amended (Deleted),,,
EP,D27C,Opposition Finished (Deleted),,,
EP,D27O,Opposition Rejected (Deleted),,,
EP,D27W,Revoked (Deleted),,,
EP,D8RA,Date Of Receipt Of Request For Re-Establishment Of Rights (Art 122) (Deleted),,,
EP,DA1,Date And Kind Of First Publication (Deleted),,,
EP,DA4,Dispatch Of Supplementary Search Report (Deleted),,,
EP,DAC ,Divisional Application (Art. 76) Of: (Deleted),,,
EP,DAF,Successive Application (Art. 61) (Deleted),,,
EP,DAHF,Divisional Application (Art. 76) In: (Deleted),,,
EP,DATE=CCYYMMDD,"Date_Gazette, Date Of Notification Of Event",,,
EP,DAV,Request For Validation Of The European Patent (In Any Country) Deleted,,,
EP,DAX,Request For Extension Of The European Patent To (To Any Country) Deleted,,,
EP,DB1,Deletion Of B1 Document,,,
EP,DB2,Date Of Publication Of New Second Specification ** Last Entry Deleted,,,
EP,DBV,Designated Contracting States (Deleted),,,
EP,DET,De: Translation Of Patent Claims,,,
EP,DIN1,Inventor (Deleted),,,
EP,DIN2,Inventor (Deleted),,,
EP,DX,Miscellaneous: (Deleted),,,
EP,EAL,Se: European Patent In Force In Sweden,,,
EP,EL,Fr: Translation Of Claims Filed,,,
EP,EL1,Fr: Translation Or Corrected Translation Of Claims Filed,,,
EP,EM,Fr: Revised Translation Of Claims Filed,,,
EP,EN,Fr: Translation Not Filed,,,
EP,EN3,Fr: Translation Not Filed ** Decision Concerning Opposition,,,
EP,EN4,Fr: Notification Of Non Filing Translation In An Earlier Bopi Is Erroneous,,,
EP,EPC 2000 - INID CODE 27,Previously Filed Application.,,,
EP,EPIDOS AGRA,Communication Of Intention To Grant,,,
EP,EPIDOS EXPT,Change - Extension States,,,
EP,EPIDOS IGRA,Communication Of Intention To Grant A Patent,,,
EP,EPIDOS RFEE,Renewal Fee,,,
EP,EPIDOSDTIPA,Deletion: Observations By Third Parties,,,
EP,EPIDOSNTIPA,New Entry: Observations By Third Parties,,,
EP,EPTA,Lu: Last Paid Annual Fee,,,
EP,ET,Fr: Translation Filed,,,
EP,ET1,Fr: Translation Filed ** Revision Of The Translation Of The Patent Or The Claims,,,
EP,ET2,Fr: Translation Filed ** Revision Of The Translation Of The Modified Patent After Opposition,,,
EP,ET3,Fr: Translation Filed ** Decision Concerning Opposition,,,
EP,ETR,Fr: Translation Filed ** Restoration Of The Right,,,
EP,EUG,Se: European Patent Has Lapsed,,,
EP,EXA,"Revealed During The Examination Phase (Citing Document Is Kind-Code ""A"") - Information Available In Epo Systems",,,
EP,EXTE,Validation Of The European Patent To (Not Used),,,
EP,FDY,File Destroyed,,,
EP,FG4D,European Patents Granted Designating Ireland,,,
EP,FGA,Letters Patent Sealed Or Granted (Standard Patent),,,
EP,FGD,Duplicate Letters Patent Sealed Or Granted,,,
EP,FGF,Patent Sealed Or Granted (Petty Patent),,,
EP,FGI,Letters Patent Sealed Or Granted (Innovation Patent),,,
EP,FIT,It: Spc Of Herbicidal Products: No Action Taken,,,
EP,FITA,It: Spc Of Herbicidal Products: Examined,,,
EP,FITB,It: Spc Of Herbicidal Products: Suspended,,,
EP,FITC,It: Spc Of Herbicidal Products: Partially Granted,,,
EP,FITD,It: Spc Of Herbicidal Products: Granted,,,
EP,FITE,It: Spc Of Herbicidal Products: Interlocutory Refusal,,,
EP,FITF,It: Spc Of Herbicidal Products: Office Refusal,,,
EP,FITG,It: Spc Of Herbicidal Products: Definitive Refusal,,,
EP,FITH,It: Spc Of Herbicidal Products: Board Of Appeal,,,
EP,FITI,It: Spc Of Herbicidal Products: Court Of Cassation,,,
EP,FITL,It: Spc Of Herbicidal Products: Court Of Justice,,,
EP,FITM,It: Spc Of Herbicidal Products: Withdrawal Of Spc Application,,,
EP,FITN,It: Spc Of Herbicidal Products: Annulment Of Spc,,,
EP,FITO,It: Spc Of Herbicidal Products: Expiry,,,
EP,FITP,It: Spc Of Herbicidal Products: Renunciation Of Spc,,,
EP,FOP,Filed For Opposition By Any Third Party - Observation Letters Filed,,,
EP,FP,Expired Due To Failure To Pay Maintenance Fees,,,
EP,FPAY,Fee Payment,,,
EP,GBA,Gb: Translation Amended (Gb Section 77(6)(A)/1977),,,
EP,GBAT,Gb: Amendment Of Translation Allowed (Of Ep Patent) (Gb Sect. 80(3)/1977),,,
EP,GBAW,Gb: Application Withdrawn,,,
EP,GBC,Gb: Translation Of Claims Filed (Gb Section 78(7)/1977),,,
EP,GBC8,Gb: Translation Of Claims Filed (Gb Section 80(3)/1977),,,
EP,GBCC,Gb: Corrected Translation (Of Claims) Filed (Gb Section 80(3)/1977),,,
EP,GBDL,"Gb: Delete ""European Patent Ceased"" From Journal",,,
EP,GBDW,Gb: Gb Designation Withdrawn,,,
EP,GBGD,Gb: Date Of Publication Of The New Specification Of The Patent Under Article 103 (1977) ** Grant Date Withdrawn,,,
EP,GBGR,Gb: Grant Date Revoked,,,
EP,GBGW,Gb: Grant Date Withdrawn,,,
EP,GBPC,Gb: European Patent Ceased Through Non-Payment Of Renewal Fee,,,
EP,GBPR,Gb: Patent Revoked Under Art. 102 Of The Ep Convention Designating The Uk As Contracting State,,,
EP,GBRH,Gb: Ep (Uk) Patent Reinstated (Gb Rule 100),,,
EP,GBRI,Gb: Ep (Uk) Patent Reinstated (Gb Rule 110(3)A/1987),,,
EP,GBRJ,Gb: Reinstated Under Rule 110(4) - Alteration Of Time Limits,,,
EP,GBT,Gb: Translation Of Ep Patent Filed (Gb Section 7(6)(A)/1977),,,
EP,GBT8,Gb: Translation Filed (Gb Section 80(3)/1977),,,
EP,GBTA,Gb: Translation Of Amended Ep Patent Filed (Gb Section 77(6)(B)/1977),,,
EP,GBTC,Gb: Corrected Translation (Of Ep Patent) Filed (Gb Section 80(3)/1977),,,
EP,GBTH,Gb: Translations Filed: Amended European Patents - Correction,,,
EP,GBV,Gb: Ep Patent (Uk) Treated As Always Having Been Void In Accordance With Gb Section 77(7)/1977,,,
EP,IECL,Ie: Translation For Ep Claims Filed,,,
EP,IGRA,Intention To Grant The Patent,,,
EP,INTC,Former Communication Of Intention To Grant Cancelled,,,
EP,INTG,Announcement Of Intention To Grant,"Submit Grant Fee, Submit Translation of the Claims in Two Official Languages",4.months,
EP,ISAT,International Searching Authority,,,
EP,ISR,Originates From International Search Report - International Search Report Completed,,,
EP,ITCL,It: Translation For Ep Claims Filed,,,
EP,ITCP,It: Complementary Protection Certificate,,,
EP,ITF,It: Translation For A Ep Patent Filed,,,
EP,ITPR,It: Changes In Ownership Of A European Patent,,,
EP,ITTA,It: Last Paid Annual Fee,,,
EP,K1C0,Previously Announced Correction Of Patent Application Cancelled,,,
EP,K1C1,Correction Of Patent Application (Title Page) Published,,,
EP,K1C2,Correction Of Patent Application (Partial Reprint) Published,,,
EP,K1C3,Correction Of Patent Application (Complete Reprint) Published,,,
EP,K2,Correction Of Patent Specification Published,,,
EP,K2C0,Announced Rectification Cancelled,,,
EP,K2C1,Correction Of Patent Specification (Title Page) Published,,,
EP,K2C2,Correction Of Patent Specification (Partial Reprint) Published,,,
EP,K2C3,Correction Of Patent Specification (Complete Reprint) Published,,,
EP,KL,Correction List,,,
EP,L510EP,Lapse Because Of Failure To Submit A Translation Of The Description Or To Pay The Fee Within The Prescribed Time-Limit,,,
EP,LAPS,Lapse For Failure To Pay Maintenance Fees,,,
EP,LIM1,Limitation Is Admissible,,,
EP,LIM2,Limitation Is Inadmissible,"Submit Amendment to Stated Deficiencies in Claims, Description, or Drawings.",,
EP,LIM3,Limitation Deemed Not To Be Filed,,,
EP,LIM4,"Limitation Deemed Not To Be Filed, Opposition Pending Or Filed",,,
EP,LIM5,Limitation Withdrawn,,,
EP,LTIE,Lt: Invalidation Of European Patent Or Patent Extension,,,
EP,LTLA,Lt: Lapse Of European Patent Or Patent Extension,,,
EP,MED,It: Spc For Pharmaceutical Products: No Action Taken,,,
EP,MEDA,It: Spc For Pharmaceutical Products: Examined,,,
EP,MEDB,It: Spc For Pharmaceutical Products: Suspended,,,
EP,MEDC,It: Spc For Pharmaceutical Products: Partially Granted,,,
EP,MEDD,It: Spc For Pharmaceutical Products: Granted,,,
EP,MEDE,It: Spc For Pharmaceutical Products: Interlocutary Refusal,,,
EP,MEDF,It: Spc For Pharmaceutical Products: Office Refusal,,,
EP,MEDG,It: Spc For Pharmaceutical Products: Definitive Refusal,,,
EP,MEDH,It: Spc For Pharmaceutical Products: Boad Of Appeal,,,
EP,MEDI,It: Spc For Pharmaceutical Products: Court Of Cassation,,,
EP,MEDL,It: Spc For Pharmaceutical Products: Court Of Justice,,,
EP,MEDM,It: Spc For Pharmaceutical Products: Withdrawal Of Spc Application,,,
EP,MEDN,It: Spc For Pharmaceutical Products: Annulment Of Spc,,,
EP,MEDO,It: Spc For Pharmaceutical Products: Expiry,,,
EP,MEDP,It: Spc For Pharmaceutical Products: Renunciation Of Spc,,,
EP,MM4A,Patent Lapsed,,,
EP,N,New Record Or Replacement Record,,,
EP,NLE,Nl: Notifications Concerning Applications,,,
EP,NLR1,Nl: Opposition Has Been Filed With The Epo,,,
EP,NLR2,Nl: Decision Of Opposition,,,
EP,NLR3,Nl: Receipt Of Modified Translations In The Netherlands Language After An Opposition Procedure,,,
EP,NLR4,Nl: Receipt Of Corrected Translation In The Netherlands Language At The Initiative Of The Proprietor Of The Patent,,,
EP,NLR5,Nl: Patents In Respect Of Which A Request To Provide A Certificate Of Prior Use Has Been Filed,,,
EP,NLR6,Nl: Patents In Respect Of Which A Decision Has Been Taken On A Request Concerning Prior Use,,,
EP,NLS,Nl: Assignments Of Ep-Patents,,,
EP,NLT1,"Nl: Modification Of Names Registered In Virtue Of Documents Presented To The Patent Office Pursuant To Art. 16A, Paragraph 1",,,
EP,NLT2,"Nl: Modifications (Of Names), Taken From The European Patent",,,
EP,NLUE,Nl: License Registered With Regard To European Patents,,,
EP,NLV1,Nl: Lapsed Or Annulled Due To Failure To Fulfill The Requirements Of Art. 29P And 29M Of The Patents Act,,,
EP,NLV4,Nl: Lapsed Or Annulled Due To Non-Payment Of The Annual Fee,,,
EP,NLV5,Nl: Annulment (Art. 75),,,
EP,NLV6,European Patent Surrendered (Cf. Article 48 Or Aritcle 63 Of The Patents Act 1995),,,
EP,NLV7,Nl: Lapsed Due To Reaching The Maximm Lifetime Of A Patent,,,
EP,NLXE,Nl: Other Communications Concerning Ep-Patents (Part 3 Heading Xe),,,
EP,O,Optional Deletion Of A Duplicate Event,,,
EP,OPP,Revealed During The Opposition Phase - Opposition Letters Filed,,,
EP,PD2B,A Search Report Has Been Drawn Up,,,
EP,PG25,Lapsed In A Contracting State Announced Via Postgrant Inform. From Nat. Office To Epo,"Submit Request, Translation and Fee For Re-Establishment of Rights at National Office of Contracting State",,
EP,PGFP,Postgrant: Annual Fees Paid To National Office,,,
EP,PGRI,Postgrant: Patent Reinstated In Contracting State,,,
EP,PHS,Application Shelved,,,
EP,PL,Patent Ceased,,,
EP,PROL,Language Of The Procedure,,,
EP,PRS,Origin Pre-Grant - Pre-Search,,,
EP,PRVG,Petition For Review By The Enlarged Board Of Appeal Granted,,,
EP,PRVN,Petition For Review By The Enlarged Board Of Appeal Not Granted,,,
EP,R011,"All Appeals Rejected, Refused Or Otherwise Settled",,,
EP,R042,Patent'S Revocation In Full Now Final,,,
EP,R110,Filing Of A Request For Conversion (Correction),,,
EP,R11L,Granting Of A License (Correction),,,
EP,R11X,Legal Means Of Execution (Correction),,,
EP,R16A,New Documents Discovered After Completion Of The Ep-Search Report,,,
EP,R17C,Date Of Dispatch Of First Examination Report,,,
EP,R17D,Search Report (Correction),,,
EP,R17P,Request For Examination Filed (Correction),,,
EP,R18D,Ep-Application Deemed To Be Withdrawn: (Correction),,,
EP,R18R,Refused (Correction),,,
EP,R18W,Withdrawal (Correction),,,
EP,R18X,Re-Established (Correction),,,
EP,R18Z,Request For Re-Establishment (Correction),,,
EP,R19A,Stay Of Proceedings (Correction) Before Grant,,,
EP,R19F,The Resumption Of A Previous Incorrect Announcement Of A Stay Of Proceedings (Correction) After Grant,,,
EP,R19U,Interruption Of Proceedings (Correction) Before Grant,,,
EP,R19W,Resumption After Interruption Of Proceedings (Correction) Before Grant,,,
EP,R20,Corrections Of A Patent Specification,,,
EP,R25,Lapsed Ina Contracting State During The Opposition Period,,,
EP,R26,Opposition Filed (Correction),,,
EP,R26D,Opposition Deemed Not To Have Been Filed (Corr.),,,
EP,R26N,No Opposition Filed (Correction),,,
EP,R26U,Inadmissible Opposition (Correction),,,
EP,R27A,Maintained As Amended (Correction),,,
EP,R27C,Opposition Finished,,,
EP,R27O,Opposition Rejected (Correction),,,
EP,R27W,Revoked (Correction),,,
EP,R28,Re-Established (Correction),,,
EP,R28E,Date Of Receipt Of Request For Re-Establishment Of Rights (Art 122) (Correction),,,
EP,R29A,Suspension Of Proceedings (Correction) After Grant,,,
EP,R29U,Interruption Of Proceedings (Correction) After Grant,,,
EP,R29W,Resumption After Interruption Of Proceedings (Correction) After Grant,,,
EP,R565,Issuance Of Search Results Under Rule 164(2) Epc (Correction),,,
EP,R80,Public Notification If The Address Of The Addressee Cannot Be Established,,,
EP,RA1,Date And Kind Of First Publication (Correction),,,
EP,RA4,Dispatch Of Supplementary Search Report,,,
EP,RAC,Divisional Application (Art.76) Of: (Correction),,,
EP,RAF,Successive Application (Art. 61) (Correction),,,
EP,RAG,Has Successive Application (Art.61) (Correction),,,
EP,RAP1,Transfer Of Rights Of An Ep Published Application,,,
EP,RAP2,Transfer Of Rights Of An Ep Granted Patent,,,
EP,RAP3,Correction Of The Address Or Name Of Applicant (A Document),,,
EP,RAP4,Correction Of Name Or Address Of Patent Owner (B Document),,,
EP,RAV,Requested Validation States Of The European Patent Have Changed,,,
EP,RAX,Requested Extension States Of The European Patent Have Changed,,,
EP,RB1,Correction Of Date Of Second Publication (B1),,,
EP,RB2,Date And Kind Of Third Publication (Correction),,,
EP,RBV,Designated Contracting States (Correction):,,,
EP,RECORD=DATA,Contains Data For A Legal Event,,,
EP,REF,Corresponds To:,,,
EP,REG,Reference To A National Code,,,
EP,REMI,Maintenace Fee Reminder Mailed,,,
EP,RER,Ceased As To Paragraph 5 Lit. 3 Law Introducing Patent Treaties,,,
EP,RFEE,Renewal Fee Payment,,,
EP,RHK1,Main Classification (Correction),,,
EP,RHK2,Main Classification (Correction),,,
EP,RIC1,Classification (Correction),,,
EP,RIC2,Classification (Correction),,,
EP,RIN1,Inventor (Correction),Response to Inventor (Correction)-2 Months Response From Notification Mail Date,2.months,
EP,RIN2,Inventor (Correction),,,
EP,RJL1,Rejection Of Limitation - Substantive Refusal (Appeal Decision Rejecting The Request (Art. 106(1)),Submit Notice of Appeal and Fees,2.months,
EP,RJL1,Rejection Of Limitation - Substantive Refusal (Appeal Decision Rejecting The Request (Art. 106(1)),Submit Written Statement Setting Out the Grounds of Appeal,4.months,
EP,RJL2,Rejection Of Limitation - Inadmissible For Formal Reasons,Submit Request Re-establishment of rights under Art. 122,2.months,
EP,RJL3,Rejection Of Limitation - No Or Late Reply To Subset Report,Submit Request Re-establishment of rights under Art. 122,2.months,
EP,RJL4,Rejection Of Limitation - Request Allowed But Requirements Not Fulfilled,Submit Corrections to Deficiencies,2.months,
EP,RTI1,Title (Correction),,,
EP,RTI2,Title (Correction),,,
EP,RVAA,Decision On Revocation Request Is Admissible (For Revocation Filed After Opposition Period),,,
EP,RVAD,Revocation Request Is Deemed Not Filed Art. 105A (For Revocation Filed After Opposition Period),,,
EP,RVAI,Revocation Request Is Inadmissible Art. 105A (For Revocation Filed After Opposition Period),,,
EP,RVDA,Decision On Revocation Request Is Admissible (For Revocation Filed During Opposition Period),,,
EP,RVDD,Revocation Request Is Deemed Not Filed Art. 105A (For Revocation Filed During Opposition Period),,,
EP,RVDI ,Revocation Request Is Inadmissible Art. 105A (For Revocation Filed During Opposition Period),,,
EP,RX1,Cancellation Of First Publication,,,
EP,RX2,Cancellation Of Second Publication,,,
EP,SC4A,Pt: Translation Is Available,,,
EP,SEA,Originates From The Search Report - Search Report Completed,,,
EP,STATUS=,"Status Of The Record (Can Be N, D, O For New, Deletion Or Optional)",,,
EP,SUP,Originates From Supplementary Search Report - Supplementary Search Report Completed,,,
EP,T1,Dk: Translation Of The Claims Of Ep Patent,,,
EP,T2,Dk: Corrected Translation Of The Claims Of Ep Patent,,,
EP,T3,Dk: Translation Of Ep Patent,,,
EP,T4,Dk: Translation Of Amended Ep Patent,,,
EP,T5,Dk: Corrected Translation Of Ep Patent,,,
EP,TCAT,At: Translation Of Patent Claims Filed,,,
EP,TCNL,Nl: Translation Of Patent Claims Filed,,,
EP,TDAT,At: Translation Of Application Published,,,
EP,TPO,Third Party Observation - Observation Letters Filed,,,
EP,VD1,Lapsed Due To Non-Payment Of The Annual Fee,,,
EP,VS25,Lapsed In A Validation State Announced Via Postgrant Information From Nat. Office To Epo,,,
EP,VSFP,Postgrant: Annual Fees Paid To Validation State,,,
EP,VSRI,Postgrant: Patent Reinstated In Validation State,,,
EP,X,Document Not Published,,,
EP,X1,No Entry Under This Number,,,
EP,XX,Miscellaneous:,,,
EP,ZE,Nl: Corrections To Earlier Entries In Headings Pe - Xe,,,
US,1449,List of References cited by applicant and considered by examiner,IDS Cross Reference,,
US,371.FEE.M923,371 Supplemental Fees Missing - Form M923 (Notification of Insufficiency),Response to Notification of Insufficiency,2.months,
US,371P,Documents submitted with 371 Applications,,,
US,A...,Amendment/Req. Reconsideration-After Non-Final Reject,,,
US,A.I.,Informal or Non-Responsive Amendment,,,
US,A.LA,Untimely (Late) Amendment Filed,Petition for Extension of Time,1.week,"MPEP 714.17, 711.02"
US,A.NA,Amendment after Notice of Allowance (Rule 312),,,
US,A.NQ,Amendment Crossed in Mail,,,
US,A.QU,Response after Ex Parte Quayle Action,,,
US,ABN,Abandonment,Petition to Revive Final Deadline,12.months,
US,ABN,Abandonment,Petition to Revive Due (6 Month Deadline),6.months,
US,ABST.NE,Abstract - Amendment Not Entered,,,
US,ACPA,Continued Prosecution Application - Continuation (ACPA),,,
US,ADS,"Application Data Sheet (Dates tie to ""Filing Date"")",,,
US,AF/D.131,Affidavit-Rule 131-pre-AIA (FTI) ONLY,,,
US,AF/D.132,Affidavit-traversing rejectns or objectns rule 132,,,
US,AISP,Letter of Suspension - Applicant Initiated,,,
US,AMSB,Amendment Submitted/Entered with Filing of CPA/RCE,,,
US,AP.B,Appeal Brief Filed,,,
US,AP.PRE.DEC,Pre-Brief Appeal Conference decision,,,
US,AP.PRE.REQ,Pre-Brief Conference request,,,
US,AP/W,Request to Withdraw Appeal by Appellant,,,
US,APAR,Administrative Remand to Examiner,,,
US,APBD,Notice - Defective Appeal Brief,Submit Corrected Notice of Appeal & Extension of Time,,Manual Entry
US,APD1,Decision on Reconsideration - Denied,File Civil action in District Court ED Va.,2.months,"35 USC 141, 145; 37 CFR 1.302, 1.303, 1.304"
US,APD1,Decision on Reconsideration - Denied,File Notice of Appeal to Federal Circuit,2.months,
US,APD3,Decision on Reconsideration - Granted in Part,Notice of Appeal to Federal Circuit,2.months,"35 USC 141, 145; 37 CFR 1.302, 1.303, 1.304"
US,APDN,Patent Board Decision 196(b),,,
US,APDP,Patent Board Decision - Examiner Affirmed in Part,Submit Request for Review of Board Decision,2.months,
US,APDP,Patent Board Decision - Examiner Affirmed in Part,Submit Request for Rehearing,1.months,
US,APDS,Dismissal of Appeal,Petition to Director (37 CFR 1.181) to withdraw holding of abandonment,2.months,
US,APDS,Dismissal of Appeal,Petition to Revive & (Appeal Brief/RCE/continuing application),2.months,"MPEP 711.03(c), 1215 "
US,APDT,Patent Board Decision - Requirement under 196(D),,,
US,APE2,2nd or Subsequent Examiner''s Answer to Appeal Brief; 2nd or Subsequent Examiner's Answer to Appeal Brief,File Request to Reopen Prosecution,2.months,"""Reply must comply with 37 CFR 1.111 and may include amendments, evidence, and/or arguments directed to claims not subject to the ground of rejection set forth in the supplemental answer or other rejections.  Appellant cannot request that prosecution be reopened under 37 CFR 41.50(a)(2)(i) and is not required to reply to a supplemental examiner’s answer that is written in response to a remand that is not for further consideration of a rejection."
US,APE2,2nd or Subsequent Examiner''s Answer to Appeal Brief; 2nd or Subsequent Examiner's Answer to Appeal Brief,File Reply Brief - Request to Maintain Appeal,2.months,"The reply brief must comply with 37 CFR 41.41 (e.g., it cannot include any new amendment or affidavit)."""
US,APEA,Examiner's Answer to Appeal Brief,Rebuttal Brief,1.months,
US,APEA,Examiner's Answer to Appeal Brief,Reply to Answer to Appeal,2.months,
US,APEA,Examiner's Answer to Appeal Brief,Reply Brief for Answer to Appeal Due,1.weeks,
US,APLR,Notification of Appeal Reinstatement,,,
US,APLW,Patent Board Appeal Dismissed / Withdrawn,,,
US,APND,Notice - Defective Notice of Appeal,,,
US,APNH,Notification of Appeal Hearing,Appeal Hearing,,Manual Entry
US,APNH,Notification of Appeal Hearing,Submit Confirmation of Hearing by Appellant,,Manual Entry
US,APNR,Notice of Non-Entry of Reply Brief,,,
US,APPD,Hearing Postponement Denied,,,
US,APPG,Appeal Hearing Postponement Granted,,,
US,APPR,Panel Remand to the Examiner by Patent Board,,,
US,APRD,Order Returning Undocketed Appeal to the examiner from Patent Board,Response to Order Returning Undocketed Appeal To Examiner,,Manuel Entry
US,APWH,Waiver of Hearing by Appellant,,,
US,BDRR,Request for Rehearing of Patent Board Decision,Reply Brief Due,1.months,"""Request for Rehearing of BPAI Decision""       "
US,C105,Response to Rule 105 Communication,,,
US,C105D,Requirement under Rule 105 - Included with Office Action,,,
US,C694,Request for New or Replacement Patent Grant,,,
US,CAFC.AP.BR,Appellant''s Brief to CAFC; Appellant's Brief to CAFC,,,
US,CAFC.CAP.BR,Co-Appellee brief to CAFC,,,
US,CAFC.CAP.NTC,Notice of Cross-Appeal to CAFC,,,
US,CAFC.DEC.AFF,Decision by CAFC - Affirmed,,,
US,CAFC.DEC.AIP,Decision by CAFC - Affirmed in Part,,,
US,CAFC.DEC.DIS,Decision by CAFC - Dismissed by Court,,,
US,CAFC.DEC.REV,Decision by CAFC - Reversed,,,
US,CAFC.DEC.RMD,Decision by CAFC - Remanded,,,
US,CAFC.EXT.TM,Petition for Extension of Time to Appeal to CAFC,,,
US,CAFC.EXT.TMD,Petition for Extension of Time to Appeal to CAFC Denied,,,
US,CAFC.EXT.TMG,Petition for Extension of Time to Appeal to CAFC Granted,,,
